trait	summary_type	feature	S_21_10_22__rep1	S_21_10_22__rep2	S_21_10_22__rep3	S_21_12_20__rep1	S_21_12_20__rep2	S_21_12_20__rep3	S_22_02_24__rep1	S_22_02_24__rep2	S_22_02_24__rep3	S_22_04_28__rep1	S_22_04_28__rep2	S_22_04_28__rep3	S_22_06_29__rep1	S_22_06_29__rep2	S_22_06_29__rep3	S_22_09_09__rep1	S_22_09_09__rep2	S_22_09_09__rep3	S_22_10_21__rep1	S_22_10_21__rep2	S_22_10_21__rep3	S_22_12_16__rep1	S_22_12_16__rep2	S_22_12_16__rep3	S_23_04_20__rep1	S_23_04_20__rep2	S_23_04_20__rep3	S_23_07_03__rep1	S_23_07_03__rep2	S_23_07_03__rep3	S_23_09_06__rep1	S_23_09_06__rep2	S_23_09_06__rep3	S_23_10_25__rep1	S_23_10_25__rep2	S_23_10_25__rep3	S_24_01_04__rep1	S_24_01_04__rep2	S_24_01_04__rep3	S_24_03_04__rep1	S_24_03_04__rep2	S_24_03_04__rep3	S_24_04_16__rep1	S_24_04_16__rep2	S_24_04_16__rep3	S_24_07_05__rep1	S_24_07_05__rep2	S_24_07_05__rep3	S_24_09_05__rep1	S_24_09_05__rep2	S_24_09_05__rep3	S_24_11_06__rep1	S_24_11_06__rep2	S_24_11_06__rep3	S_25_03_07__rep1	S_25_03_07__rep2	S_25_03_07__rep3	S_25_04_30__rep1	S_25_04_30__rep2	S_25_04_30__rep3	S_25_07_10__rep1	S_25_07_10__rep2	S_25_07_10__rep3	S_25_09_12__rep1	S_25_09_12__rep2	S_25_09_12__rep3	S_25_11_25__rep1	S_25_11_25__rep2	S_25_11_25__rep3
produces: oxytetracycline	unclassified	produces_oxytetracycline.unclassified	0.620228020574178	0.6175340396704158	0.6167915290322633	0.5864850371415127	0.5864850371415127	0.5864850371415127	0.60361037864858	0.6039689414776592	0.6046733746471963	0.6916391398299703	0.6916201010958969	0.690563451341586	0.6276404344634336	0.6273072566138178	0.6279323617230494	0.6407454299104153	0.6405613888124947	0.6395650283836537	0.6329744531914336	0.6328538745412018	0.6330633006181287	0.5260814794364218	0.5241680866392752	0.5261068644154276	0.6406311975045861	0.6410627421488119	0.639714165135196	0.6262855112061166	0.6277768787265801	0.6263394542861959	0.6013574617561898	0.6004277368973424	0.6016747739944215	0.526262347412891	0.52558647234419	0.5253548344107385	0.6407898536234948	0.6408882204182691	0.6423891073056475	0.6282052502482811	0.6280180360281229	0.6291952644318914	0.6969668123125187	0.6969921972920553	0.6964337277526712	0.6226332473418118	0.6226744979331228	0.62379778325658	0.5653583883072332	0.5652917527374596	0.5667450427891477	0.6212941896960554	0.6206246608727385	0.6196949360137385	0.8586818214991405	0.8572539164261406	0.8579456571065247	0.8113039311814514	0.8136012717876039	0.8124272165056039	0.7814385033015979	0.7822095720412138	0.7816606218686711	0.7641322938189029	0.7635484392995188	0.7647605720500554	0.8183292241395188	0.818091239960598	0.8186433632562138
produces: pactamycin	consensus_true	produces_pactamycin.true	0.00845319803139	0.00845002490901	0.00851666047908	0.00854521858054	0.00854521858054	0.00854521858054	0.00828502254503	0.00840242807325	0.00822473321974	0.00665086451719	0.00713952536435	0.00726645025972	0.0103697639514	0.0102364928113	0.0099350461848	0.0068507712274	0.00669528823057	0.00681586688117	0.00839608182848	0.00810098144675	0.00814223203775	0.0115596848455	0.011448625562	0.0113217006667	0.00846271739855	0.0082913687898	0.00825963756596	0.00690154118554	0.00677144316779	0.00688884869601	0.00747587633707	0.00748856882661	0.00757741625337	0.00906878377392	0.00898945571432	0.00914176558876	0.00691106055269	0.00692375304223	0.00686346371693	0.00782174667695	0.00768847553681	0.00775828422926	0.00885618457418	0.00849444862239	0.00859916166107	0.00740289452224	0.00707606291667	0.00722519966873	0.00767578304728	0.00743779886846	0.00760597435482	0.00756789688622	0.00787251663509	0.00782809292172	0.00198637461248	0.00183406473804	0.00185944971712	0.00408063538603	0.00389976741013	0.00402351918311	0.00595277759268	0.00577190961678	0.00603210565228	0.00439160137967	0.00425198399477	0.00457564247795	0.00415679032325	0.0040457310398	0.00418217530232
produces: pactamycin	consensus_false	produces_pactamycin.false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: pactamycin	no_majority	produces_pactamycin.no_majority	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: pactamycin	unannotated	produces_pactamycin.unannotated	0.37131878139412355	0.374015935420635	0.37469181048841105	0.40496974427799215	0.40496974427799215	0.40496974427799215	0.38810459880617026	0.38762863044862395	0.3871018921328254	0.3017099956527697	0.3012403735399236	0.30217009839856424	0.3619898015846221	0.36245625057509145	0.3621325920919043	0.35240379886208895	0.3527433229572273	0.35361910473525726	0.3586294649799061	0.35904514401206683	0.3587944673438067	0.46235883571790015	0.464383287799102	0.46257143491761576	0.3509060850967708	0.35064588906130667	0.35202619729842977	0.3668129476085088	0.3654516781058026	0.36677169701757106	0.3911666619070375	0.39208369427607326	0.3907478097521511	0.4646688688136187	0.4654240719410473	0.4655034000006587	0.35229908582347946	0.35218802654007125	0.3507474289775434	0.36397300307489844	0.3642934884355878	0.3630464513386165	0.29417700311292505	0.2945133540855384	0.29496711058652897	0.3699638581360327	0.3702494391506037	0.3689770170744831	0.4269658286450214	0.4272704483938487	0.42564898285556974	0.37113791341823166	0.37150282249235866	0.3724769710642508	0.13933180388837713	0.14091201883562535	0.14019489317682648	0.18461543343264575	0.18249896080241562	0.18354926431153026	0.21260871910567686	0.2120185183422936	0.2123072724791652	0.23147610480195163	0.23219957670547822	0.23066378547160896	0.17751398553689113	0.17786302899917653	0.17717446144179272
produces: pactamycin	unclassified	produces_pactamycin.unclassified	0.620228020574178	0.6175340396704158	0.6167915290322633	0.5864850371415127	0.5864850371415127	0.5864850371415127	0.60361037864858	0.6039689414776592	0.6046733746471963	0.6916391398299703	0.6916201010958969	0.690563451341586	0.6276404344634336	0.6273072566138178	0.6279323617230494	0.6407454299104153	0.6405613888124947	0.6395650283836537	0.6329744531914336	0.6328538745412018	0.6330633006181287	0.5260814794364218	0.5241680866392752	0.5261068644154276	0.6406311975045861	0.6410627421488119	0.639714165135196	0.6262855112061166	0.6277768787265801	0.6263394542861959	0.6013574617561898	0.6004277368973424	0.6016747739944215	0.526262347412891	0.52558647234419	0.5253548344107385	0.6407898536234948	0.6408882204182691	0.6423891073056475	0.6282052502482811	0.6280180360281229	0.6291952644318914	0.6969668123125187	0.6969921972920553	0.6964337277526712	0.6226332473418118	0.6226744979331228	0.62379778325658	0.5653583883072332	0.5652917527374596	0.5667450427891477	0.6212941896960554	0.6206246608727385	0.6196949360137385	0.8586818214991405	0.8572539164261406	0.8579456571065247	0.8113039311814514	0.8136012717876039	0.8124272165056039	0.7814385033015979	0.7822095720412138	0.7816606218686711	0.7641322938189029	0.7635484392995188	0.7647605720500554	0.8183292241395188	0.818091239960598	0.8186433632562138
produces: pamamycin	consensus_true	produces_pamamycin.true	0.00845319803139	0.00845002490901	0.00851666047908	0.00854521858054	0.00854521858054	0.00854521858054	0.00828502254503	0.00840242807325	0.00822473321974	0.00665086451719	0.00713952536435	0.00726645025972	0.0103697639514	0.0102364928113	0.0099350461848	0.0068507712274	0.00669528823057	0.00681586688117	0.00839608182848	0.00810098144675	0.00814223203775	0.0115596848455	0.011448625562	0.0113217006667	0.00846271739855	0.0082913687898	0.00825963756596	0.00690154118554	0.00677144316779	0.00688884869601	0.00747587633707	0.00748856882661	0.00757741625337	0.00906878377392	0.00898945571432	0.00914176558876	0.00691106055269	0.00692375304223	0.00686346371693	0.00782174667695	0.00768847553681	0.00775828422926	0.00885618457418	0.00849444862239	0.00859916166107	0.00740289452224	0.00707606291667	0.00722519966873	0.00767578304728	0.00743779886846	0.00760597435482	0.00756789688622	0.00787251663509	0.00782809292172	0.00198637461248	0.00183406473804	0.00185944971712	0.00408063538603	0.00389976741013	0.00402351918311	0.00595277759268	0.00577190961678	0.00603210565228	0.00439160137967	0.00425198399477	0.00457564247795	0.00415679032325	0.0040457310398	0.00418217530232
produces: pamamycin	consensus_false	produces_pamamycin.false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: pamamycin	no_majority	produces_pamamycin.no_majority	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: pamamycin	unannotated	produces_pamamycin.unannotated	0.37131878139412355	0.374015935420635	0.37469181048841105	0.40496974427799215	0.40496974427799215	0.40496974427799215	0.38810459880617026	0.38762863044862395	0.3871018921328254	0.3017099956527697	0.3012403735399236	0.30217009839856424	0.3619898015846221	0.36245625057509145	0.3621325920919043	0.35240379886208895	0.3527433229572273	0.35361910473525726	0.3586294649799061	0.35904514401206683	0.3587944673438067	0.46235883571790015	0.464383287799102	0.46257143491761576	0.3509060850967708	0.35064588906130667	0.35202619729842977	0.3668129476085088	0.3654516781058026	0.36677169701757106	0.3911666619070375	0.39208369427607326	0.3907478097521511	0.4646688688136187	0.4654240719410473	0.4655034000006587	0.35229908582347946	0.35218802654007125	0.3507474289775434	0.36397300307489844	0.3642934884355878	0.3630464513386165	0.29417700311292505	0.2945133540855384	0.29496711058652897	0.3699638581360327	0.3702494391506037	0.3689770170744831	0.4269658286450214	0.4272704483938487	0.42564898285556974	0.37113791341823166	0.37150282249235866	0.3724769710642508	0.13933180388837713	0.14091201883562535	0.14019489317682648	0.18461543343264575	0.18249896080241562	0.18354926431153026	0.21260871910567686	0.2120185183422936	0.2123072724791652	0.23147610480195163	0.23219957670547822	0.23066378547160896	0.17751398553689113	0.17786302899917653	0.17717446144179272
produces: pamamycin	unclassified	produces_pamamycin.unclassified	0.620228020574178	0.6175340396704158	0.6167915290322633	0.5864850371415127	0.5864850371415127	0.5864850371415127	0.60361037864858	0.6039689414776592	0.6046733746471963	0.6916391398299703	0.6916201010958969	0.690563451341586	0.6276404344634336	0.6273072566138178	0.6279323617230494	0.6407454299104153	0.6405613888124947	0.6395650283836537	0.6329744531914336	0.6328538745412018	0.6330633006181287	0.5260814794364218	0.5241680866392752	0.5261068644154276	0.6406311975045861	0.6410627421488119	0.639714165135196	0.6262855112061166	0.6277768787265801	0.6263394542861959	0.6013574617561898	0.6004277368973424	0.6016747739944215	0.526262347412891	0.52558647234419	0.5253548344107385	0.6407898536234948	0.6408882204182691	0.6423891073056475	0.6282052502482811	0.6280180360281229	0.6291952644318914	0.6969668123125187	0.6969921972920553	0.6964337277526712	0.6226332473418118	0.6226744979331228	0.62379778325658	0.5653583883072332	0.5652917527374596	0.5667450427891477	0.6212941896960554	0.6206246608727385	0.6196949360137385	0.8586818214991405	0.8572539164261406	0.8579456571065247	0.8113039311814514	0.8136012717876039	0.8124272165056039	0.7814385033015979	0.7822095720412138	0.7816606218686711	0.7641322938189029	0.7635484392995188	0.7647605720500554	0.8183292241395188	0.818091239960598	0.8186433632562138
produces: paromomycin	consensus_true	produces_paromomycin.true	0.00845319803139	0.00845002490901	0.00851666047908	0.00854521858054	0.00854521858054	0.00854521858054	0.00828502254503	0.00840242807325	0.00822473321974	0.00665086451719	0.00713952536435	0.00726645025972	0.0103697639514	0.0102364928113	0.0099350461848	0.0068507712274	0.00669528823057	0.00681586688117	0.00839608182848	0.00810098144675	0.00814223203775	0.0115596848455	0.011448625562	0.0113217006667	0.00846271739855	0.0082913687898	0.00825963756596	0.00690154118554	0.00677144316779	0.00688884869601	0.00747587633707	0.00748856882661	0.00757741625337	0.00906878377392	0.00898945571432	0.00914176558876	0.00691106055269	0.00692375304223	0.00686346371693	0.00782174667695	0.00768847553681	0.00775828422926	0.00885618457418	0.00849444862239	0.00859916166107	0.00740289452224	0.00707606291667	0.00722519966873	0.00767578304728	0.00743779886846	0.00760597435482	0.00756789688622	0.00787251663509	0.00782809292172	0.00198637461248	0.00183406473804	0.00185944971712	0.00408063538603	0.00389976741013	0.00402351918311	0.00595277759268	0.00577190961678	0.00603210565228	0.00439160137967	0.00425198399477	0.00457564247795	0.00415679032325	0.0040457310398	0.00418217530232
produces: paromomycin	consensus_false	produces_paromomycin.false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: paromomycin	no_majority	produces_paromomycin.no_majority	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: paromomycin	unannotated	produces_paromomycin.unannotated	0.37131878139412355	0.374015935420635	0.37469181048841105	0.40496974427799215	0.40496974427799215	0.40496974427799215	0.38810459880617026	0.38762863044862395	0.3871018921328254	0.3017099956527697	0.3012403735399236	0.30217009839856424	0.3619898015846221	0.36245625057509145	0.3621325920919043	0.35240379886208895	0.3527433229572273	0.35361910473525726	0.3586294649799061	0.35904514401206683	0.3587944673438067	0.46235883571790015	0.464383287799102	0.46257143491761576	0.3509060850967708	0.35064588906130667	0.35202619729842977	0.3668129476085088	0.3654516781058026	0.36677169701757106	0.3911666619070375	0.39208369427607326	0.3907478097521511	0.4646688688136187	0.4654240719410473	0.4655034000006587	0.35229908582347946	0.35218802654007125	0.3507474289775434	0.36397300307489844	0.3642934884355878	0.3630464513386165	0.29417700311292505	0.2945133540855384	0.29496711058652897	0.3699638581360327	0.3702494391506037	0.3689770170744831	0.4269658286450214	0.4272704483938487	0.42564898285556974	0.37113791341823166	0.37150282249235866	0.3724769710642508	0.13933180388837713	0.14091201883562535	0.14019489317682648	0.18461543343264575	0.18249896080241562	0.18354926431153026	0.21260871910567686	0.2120185183422936	0.2123072724791652	0.23147610480195163	0.23219957670547822	0.23066378547160896	0.17751398553689113	0.17786302899917653	0.17717446144179272
produces: paromomycin	unclassified	produces_paromomycin.unclassified	0.620228020574178	0.6175340396704158	0.6167915290322633	0.5864850371415127	0.5864850371415127	0.5864850371415127	0.60361037864858	0.6039689414776592	0.6046733746471963	0.6916391398299703	0.6916201010958969	0.690563451341586	0.6276404344634336	0.6273072566138178	0.6279323617230494	0.6407454299104153	0.6405613888124947	0.6395650283836537	0.6329744531914336	0.6328538745412018	0.6330633006181287	0.5260814794364218	0.5241680866392752	0.5261068644154276	0.6406311975045861	0.6410627421488119	0.639714165135196	0.6262855112061166	0.6277768787265801	0.6263394542861959	0.6013574617561898	0.6004277368973424	0.6016747739944215	0.526262347412891	0.52558647234419	0.5253548344107385	0.6407898536234948	0.6408882204182691	0.6423891073056475	0.6282052502482811	0.6280180360281229	0.6291952644318914	0.6969668123125187	0.6969921972920553	0.6964337277526712	0.6226332473418118	0.6226744979331228	0.62379778325658	0.5653583883072332	0.5652917527374596	0.5667450427891477	0.6212941896960554	0.6206246608727385	0.6196949360137385	0.8586818214991405	0.8572539164261406	0.8579456571065247	0.8113039311814514	0.8136012717876039	0.8124272165056039	0.7814385033015979	0.7822095720412138	0.7816606218686711	0.7641322938189029	0.7635484392995188	0.7647605720500554	0.8183292241395188	0.818091239960598	0.8186433632562138
produces: penicillin N	consensus_true	produces_penicillin_n.true	0.00845319803139	0.00845002490901	0.00851666047908	0.00854521858054	0.00854521858054	0.00854521858054	0.00828502254503	0.00840242807325	0.00822473321974	0.00665086451719	0.00713952536435	0.00726645025972	0.0103697639514	0.0102364928113	0.0099350461848	0.0068507712274	0.00669528823057	0.00681586688117	0.00839608182848	0.00810098144675	0.00814223203775	0.0115596848455	0.011448625562	0.0113217006667	0.00846271739855	0.0082913687898	0.00825963756596	0.00690154118554	0.00677144316779	0.00688884869601	0.00747587633707	0.00748856882661	0.00757741625337	0.00906878377392	0.00898945571432	0.00914176558876	0.00691106055269	0.00692375304223	0.00686346371693	0.00782174667695	0.00768847553681	0.00775828422926	0.00885618457418	0.00849444862239	0.00859916166107	0.00740289452224	0.00707606291667	0.00722519966873	0.00767578304728	0.00743779886846	0.00760597435482	0.00756789688622	0.00787251663509	0.00782809292172	0.00198637461248	0.00183406473804	0.00185944971712	0.00408063538603	0.00389976741013	0.00402351918311	0.00595277759268	0.00577190961678	0.00603210565228	0.00439160137967	0.00425198399477	0.00457564247795	0.00415679032325	0.0040457310398	0.00418217530232
produces: penicillin N	consensus_false	produces_penicillin_n.false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: penicillin N	no_majority	produces_penicillin_n.no_majority	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
produces: penicillin N	unannotated	produces_penicillin_n.unannotated	0.37131878139412355	0.374015935420635	0.37469181048841105	0.40496974427799215	0.40496974427799215	0.40496974427799215	0.38810459880617026	0.38762863044862395	0.3871018921328254	0.3017099956527697	0.3012403735399236	0.30217009839856424	0.3619898015846221	0.36245625057509145	0.3621325920919043	0.35240379886208895	0.3527433229572273	0.35361910473525726	0.3586294649799061	0.35904514401206683	0.3587944673438067	0.46235883571790015	0.464383287799102	0.46257143491761576	0.3509060850967708	0.35064588906130667	0.35202619729842977	0.3668129476085088	0.3654516781058026	0.36677169701757106	0.3911666619070375	0.39208369427607326	0.3907478097521511	0.4646688688136187	0.4654240719410473	0.4655034000006587	0.35229908582347946	0.35218802654007125	0.3507474289775434	0.36397300307489844	0.3642934884355878	0.3630464513386165	0.29417700311292505	0.2945133540855384	0.29496711058652897	0.3699638581360327	0.3702494391506037	0.3689770170744831	0.4269658286450214	0.4272704483938487	0.42564898285556974	0.37113791341823166	0.37150282249235866	0.3724769710642508	0.13933180388837713	0.14091201883562535	0.14019489317682648	0.18461543343264575	0.18249896080241562	0.18354926431153026	0.21260871910567686	0.2120185183422936	0.2123072724791652	0.23147610480195163	0.23219957670547822	0.23066378547160896	0.17751398553689113	0.17786302899917653	0.17717446144179272
produces: penicillin N	unclassified	produces_penicillin_n.unclassified	0.620228020574178	0.6175340396704158	0.6167915290322633	0.5864850371415127	0.5864850371415127	0.5864850371415127	0.60361037864858	0.6039689414776592	0.6046733746471963	0.6916391398299703	0.6916201010958969	0.690563451341586	0.6276404344634336	0.6273072566138178	0.6279323617230494	0.6407454299104153	0.6405613888124947	0.6395650283836537	0.6329744531914336	0.6328538745412018	0.6330633006181287	0.5260814794364218	0.5241680866392752	0.5261068644154276	0.6406311975045861	0.6410627421488119	0.639714165135196	0.6262855112061166	0.6277768787265801	0.6263394542861959	0.6013574617561898	0.6004277368973424	0.6016747739944215	0.526262347412891	0.52558647234419	0.5253548344107385	0.6407898536234948	0.6408882204182691	0.6423891073056475	0.6282052502482811	0.6280180360281229	0.6291952644318914	0.6969668123125187	0.6969921972920553	0.6964337277526712	0.6226332473418118	0.6226744979331228	0.62379778325658	0.5653583883072332	0.5652917527374596	0.5667450427891477	0.6212941896960554	0.6206246608727385	0.6196949360137385	0.8586818214991405	0.8572539164261406	0.8579456571065247	0.8113039311814514	0.8136012717876039	0.8124272165056039	0.7814385033015979	0.7822095720412138	0.7816606218686711	0.7641322938189029	0.7635484392995188	0.7647605720500554	0.8183292241395188	0.818091239960598	0.8186433632562138
produces: pholipomycin	consensus_true	produces_pholipomycin.true	0.00845319803139	0.00845002490901	0.00851666047908	0.00854521858054	0.00854521858054	0.00854521858054	0.00828502254503	0.00840242807325	0.00822473321974	0.00665086451719	0.00713952536435	0.00726645025972	0.0103697639514	0.0102364928113	0.0099350461848	0.0068507712274	0.00669528823057	0.00681586688117	0.00839608182848	0.00810098144675	0.00814223203775	0.0115596848455	0.011448625562	0.0113217006667	0.00846271739855	0.0082913687898	0.00825963756596	0.00690154118554	0.00677144316779	0.00688884869601	0.00747587633707	0.00748856882661	0.00757741625337	0.00906878377392	0.00898945571432	0.00914176558876	0.00691106055269	0.00692375304223	0.00686346371693	0.00782174667695	0.00768847553681	0.00775828422926	0.00885618457418	0.00849444862239	0.00859916166107	0.00740289452224	0.00707606291667	0.00722519966873	0.00767578304728	0.00743779886846	0.00760597435482	0.00756789688622	0.00787251663509	0.00782809292172	0.00198637461248	0.00183406473804	0.00185944971712	0.00408063538603	0.00389976741013	0.00402351918311	0.00595277759268	0.00577190961678	0.00603210565228	0.00439160137967	0.00425198399477	0.00457564247795	0.00415679032325	0.0040457310398	0.00418217530232
produces: pholipomycin	consensus_false	produces_pholipomycin.false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
